# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0)               |        tty_ldisc_receive_buf() {
 0)               |          n_tty_receive_buf2() {
 0)               |            n_tty_receive_buf_common() {
 0)   5.184 us    |              down_read();
 0)               |              uart_flush_chars() {
 0)               |                uart_start() {
 0)   5.376 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __uart_start.isra.0() {
 0)               |                    pl011_start_tx() {
 0)               |                      pl011_tx_chars() {
 0)   7.712 us    |                        pl011_stop_tx();
 0) + 18.832 us   |                      }
 0) + 28.912 us   |                    }
 0) + 39.104 us   |                  }
 0)   5.328 us    |                  _raw_spin_unlock_irqrestore();
 0) + 70.224 us   |                }
 0) + 79.744 us   |              }
 0)   5.264 us    |              kill_fasync();
 0)               |              __wake_up() {
 0)               |                __wake_up_common_lock() {
 0)   4.640 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __wake_up_common() {
 0)               |                    pollwake() {
 0)               |                      default_wake_function() {
 0)               |                        try_to_wake_up() {
 0)   4.448 us    |                          _raw_spin_lock_irqsave();
 0)               |                          select_task_rq_fair() {
 0)   4.544 us    |                            __rcu_read_lock();
 0)   5.136 us    |                            available_idle_cpu();
 0)   6.976 us    |                            task_h_load();
 0)               |                            select_idle_sibling() {
 0)   5.824 us    |                              available_idle_cpu();
 0) + 15.776 us   |                            }
 0)   5.168 us    |                            __rcu_read_unlock();
 0) + 70.496 us   |                          }
 0)   5.696 us    |                          _raw_spin_lock();
 0)   6.576 us    |                          update_rq_clock.part.0();
 0)               |                          activate_task() {
 0)               |                            enqueue_task_fair() {
 0)               |                              enqueue_entity() {
 0)   4.720 us    |                                update_curr();
 0)   6.752 us    |                                __update_load_avg_se();
 0)   6.144 us    |                                __update_load_avg_cfs_rq();
 0)   6.096 us    |                                update_cfs_group();
 0)   5.152 us    |                                account_entity_enqueue();
 0) + 90.528 us   |                              }
 0)               |                              enqueue_entity() {
 0)   4.448 us    |                                update_curr();
 0)   5.712 us    |                                __update_load_avg_se();
 0)   5.264 us    |                                __update_load_avg_cfs_rq();
 0)               |                                update_cfs_group() {
 0)   5.184 us    |                                  reweight_entity();
 0) + 15.040 us   |                                }
 0)   4.848 us    |                                account_entity_enqueue();
 0) + 63.232 us   |                              }
 0) ! 168.224 us  |                            }
 0) ! 178.032 us  |                          }
 0)               |                          ttwu_do_wakeup.constprop.0() {
 0)               |                            check_preempt_curr() {
 0)               |                              resched_curr() {
 0)               |                                smp_send_reschedule() {
 0)               |                                  smp_cross_call() {
 0) + 47.840 us   |                                    gic_raise_softirq();
 0) + 60.880 us   |                                  }
 0) + 69.968 us   |                                }
 0) + 80.496 us   |                              }
 0) + 90.400 us   |                            }
 0) ! 105.744 us  |                          }
 0)   7.328 us    |                          _raw_spin_unlock();
 0)   5.280 us    |                          _raw_spin_unlock_irqrestore();
 0) ! 430.368 us  |                        }
 0) ! 494.672 us  |                      }
 0) ! 513.504 us  |                    }
 0) ! 525.056 us  |                  }
 0) + 47.984 us   |                  _raw_spin_unlock_irqrestore();
 0) ! 605.568 us  |                }
 0) ! 615.168 us  |              }
 0)   8.272 us    |              up_read();
 0) ! 749.648 us  |            }
 0) ! 760.464 us  |          }
 0) ! 771.696 us  |        }
 0)               |        tty_ldisc_deref() {
 0) + 20.704 us   |          ldsem_up_read();
 0) + 33.840 us   |        }
 0) ! 863.536 us  |      }
 0)   6.800 us    |      mutex_unlock();
 0) ! 900.896 us  |    }
 0)   5.632 us    |    _raw_spin_lock_irq();
 0)   6.736 us    |    pwq_dec_nr_in_flight();
 0) ! 950.256 us  |  }
 0)   8.032 us    |  worker_enter_idle();
 0)   5.632 us    |  _raw_spin_unlock_irq();
 0)               |  schedule() {
 0)               |    wq_worker_sleeping() {
 0)   5.120 us    |      kthread_data();
 0) + 15.296 us   |    }
 0)               |    rcu_note_context_switch() {
 0)   4.688 us    |      rcu_preempt_deferred_qs();
 0) + 15.392 us   |    }
 0)   5.808 us    |    _raw_spin_lock();
 0)               |    update_rq_clock.part.0() {
 0)   7.056 us    |      update_irq_load_avg();
 0) + 18.784 us   |    }
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   5.680 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   4.448 us    |              __rcu_read_lock();
 0)   5.184 us    |              __rcu_read_unlock();
 0) + 24.304 us   |            }
 0)   4.576 us    |            __rcu_read_lock();
 0)   4.528 us    |            __rcu_read_unlock();
 0) + 66.608 us   |          }
 0)   6.432 us    |          __update_load_avg_se();
 0)   7.008 us    |          __update_load_avg_cfs_rq();
 0)   5.424 us    |          clear_buddies();
 0)   6.704 us    |          account_entity_dequeue();
 0)   5.072 us    |          update_cfs_group();
 0)   5.056 us    |          update_min_vruntime();
 0) ! 144.528 us  |        }
 0) ! 155.632 us  |      }
 0) ! 167.568 us  |    }
 0)               |    pick_next_task_fair() {
 0)               |      newidle_balance() {
 0)   4.496 us    |        __rcu_read_lock();
 0)   5.008 us    |        __msecs_to_jiffies();
 0)   4.752 us    |        __rcu_read_unlock();
 0)   6.208 us    |        _raw_spin_unlock();
 0)               |        _nohz_idle_balance() {
 0)   5.152 us    |          idle_cpu();
 0) + 18.816 us   |        }
 0)   5.008 us    |        _raw_spin_lock();
 0) + 78.528 us   |      }
 0) + 88.816 us   |    }
 0)               |    pick_next_task_idle() {
 0)               |      put_prev_task_fair() {
 0)   4.592 us    |        check_cfs_rq_runtime();
 0) + 14.768 us   |      }
 0) + 26.704 us   |    }
 0)               |    fpsimd_thread_switch() {
 0)               |      fpsimd_save() {
 0)   4.640 us    |        have_cpu_fpsimd_context();
 0) + 15.888 us   |      }
 0) + 27.696 us   |    }
 0)   5.104 us    |    hw_breakpoint_thread_switch();
 0)   4.912 us    |    uao_thread_switch();
 ------------------------------------------
 0)  kworker-186   =>    <idle>-0   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0) + 12.192 us   |        _raw_spin_unlock_irq();
 0) + 38.832 us   |      }
 0) # 1760.144 us |    } /* schedule_idle */
 0) * 43994.43 us |  } /* do_idle */
 0)               |  do_idle() {
 0)               |    tick_nohz_idle_enter() {
 0)               |      ktime_get() {
 0)   7.904 us    |        arch_counter_read();
 0) + 19.744 us   |      }
 0) + 34.880 us   |    }
 0)   5.680 us    |    arch_cpu_idle_enter();
 0) + 20.128 us   |    tick_check_broadcast_expired();
 0)   5.536 us    |    cpuidle_get_cpu_driver();
 0)   6.192 us    |    cpuidle_not_available();
 0)               |    tick_nohz_idle_stop_tick() {
 0)   5.584 us    |      can_stop_idle_tick();
 0)               |      tick_nohz_next_event() {
 0)   5.504 us    |        rcu_needs_cpu();
 0)               |        get_next_timer_interrupt() {
 0)   5.872 us    |          _raw_spin_lock();
 0)   8.624 us    |          __next_timer_interrupt();
 0)   5.248 us    |          _raw_spin_unlock();
 0)               |          hrtimer_get_next_event() {
 0)   5.312 us    |            _raw_spin_lock_irqsave();
 0)   5.504 us    |            _raw_spin_unlock_irqrestore();
 0) + 26.768 us   |          }
 0) + 72.272 us   |        }
 0)   5.408 us    |        timekeeping_max_deferment();
 0) ! 107.168 us  |      }
 0)   5.056 us    |      calc_load_nohz_start();
 0)   5.392 us    |      quiet_vmstat();
 0)               |      hrtimer_start_range_ns() {
 0)   4.704 us    |        _raw_spin_lock_irqsave();
 0)               |        __remove_hrtimer() {
 0)               |          hrtimer_force_reprogram() {
 0)   4.960 us    |            __hrtimer_next_event_base();
 0)   5.248 us    |            __hrtimer_next_event_base();
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   6.128 us    |                  arch_counter_read();
 0) + 18.320 us   |                }
 0) + 12.000 us   |                arch_timer_set_next_event_virt();
 0) + 47.472 us   |              }
 0) + 57.424 us   |            }
 0) + 86.544 us   |          }
 0) + 98.192 us   |        }
 0)   7.248 us    |        enqueue_hrtimer();
 0)               |        hrtimer_reprogram() {
 0)               |          tick_program_event() {
 0)               |            clockevents_program_event() {
 0)               |              ktime_get() {
 0)   6.128 us    |                arch_counter_read();
 0) + 15.680 us   |              }
 0)   6.064 us    |              arch_timer_set_next_event_virt();
 0) + 35.296 us   |            }
 0) + 44.512 us   |          }
 0) + 54.464 us   |        }
 0)   5.296 us    |        _raw_spin_unlock_irqrestore();
 0) ! 202.576 us  |      }
 0)   6.032 us    |      nohz_balance_enter_idle();
 0) ! 372.208 us  |    }
 0)               |    rcu_idle_enter() {
 0)   4.848 us    |      rcu_preempt_deferred_qs();
 0) + 16.656 us   |    }
 0)               |    arch_cpu_idle() {
 0)   ==========> |
 0)               |      gic_handle_irq() {
 0)               |        __handle_domain_irq() {
 0)               |          irq_enter() {
 0)               |            rcu_irq_enter() {
 0)   6.720 us    |              rcu_dynticks_eqs_exit();
 0) + 23.392 us   |            }
 0)               |            tick_irq_enter() {
 0)   5.056 us    |              tick_check_oneshot_broadcast_this_cpu();
 0)               |              ktime_get() {
 0)   5.376 us    |                arch_counter_read();
 0) + 17.168 us   |              }
 0)   5.504 us    |              nr_iowait_cpu();
 0)               |              tick_do_update_jiffies64.part.0() {
 0)   5.968 us    |                _raw_spin_lock();
 0)               |                do_timer() {
 0)   5.104 us    |                  calc_global_load();
 0) + 15.344 us   |                }
 0) + 10.128 us   |                _raw_spin_unlock();
 0)               |                update_wall_time() {
 0)               |                  timekeeping_advance() {
 0)   5.728 us    |                    _raw_spin_lock_irqsave();
 0)   5.200 us    |                    arch_counter_read();
 0)   5.440 us    |                    ntp_tick_length();
 0)   4.656 us    |                    ntp_tick_length();
 0)               |                    timekeeping_update() {
 0)   4.768 us    |                      ntp_get_next_leap();
 0)   8.352 us    |                      update_vsyscall();
 0)   5.248 us    |                      raw_notifier_call_chain();
 0) + 69.648 us   |                    }
 0)   5.632 us    |                    _raw_spin_unlock_irqrestore();
 0) ! 136.256 us  |                  }
 0) ! 145.744 us  |                }
 0) ! 231.296 us  |              }
 0) ! 289.328 us  |            }
 0)   5.520 us    |            _local_bh_enable();
 0)   6.768 us    |            irqtime_account_irq();
 0) ! 351.712 us  |          }
 0)   5.408 us    |          irq_find_mapping();
 0)               |          handle_fasteoi_irq() {
 0)   5.248 us    |            _raw_spin_lock();
 0)               |            handle_irq_event() {
 0)   4.752 us    |              _raw_spin_unlock();
 0)               |              __handle_irq_event_percpu() {
 0)               |                pl011_int() {
 0)   5.040 us    |                  _raw_spin_lock_irqsave();
 0)   8.064 us    |                  pl011_read();
 0)               |                  pl011_fifo_to_tty.isra.0() {
 0)   5.088 us    |                    pl011_read();
 0) + 45.616 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   5.248 us    |                        __tty_buffer_request_room();
 0) + 15.984 us   |                      }
 0) + 28.496 us   |                    }
 0)   7.040 us    |                    pl011_read();
 0) + 62.464 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   4.736 us    |                        __tty_buffer_request_room();
 0) + 14.016 us   |                      }
 0) + 25.744 us   |                    }
 0)   7.472 us    |                    pl011_read();
 0) + 38.832 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   4.512 us    |                        __tty_buffer_request_room();
 0) + 13.712 us   |                      }
 0) + 23.920 us   |                    }
 0)   6.672 us    |                    pl011_read();
 0) ! 320.128 us  |                  }
 0)   5.056 us    |                  _raw_spin_unlock();
 0)               |                  tty_flip_buffer_push() {
 0)               |                    queue_work_on() {
 0)               |                      __queue_work() {
 0)   4.928 us    |                        __rcu_read_lock();
 0)   6.272 us    |                        _raw_spin_lock();
 0)               |                        wake_up_process() {
 0)               |                          try_to_wake_up() {
 0)   5.104 us    |                            _raw_spin_lock_irqsave();
 0)               |                            select_task_rq_fair() {
 0)   4.480 us    |                              __rcu_read_lock();
 0)               |                              select_idle_sibling() {
 0)   5.168 us    |                                available_idle_cpu();
 0) + 15.008 us   |                              }
 0)   5.232 us    |                              __rcu_read_unlock();
 0) + 47.968 us   |                            }
 0)   4.960 us    |                            _raw_spin_lock();
 0)   6.720 us    |                            update_rq_clock.part.0();
 0)               |                            activate_task() {
 0)               |                              enqueue_task_fair() {
 0)               |                                enqueue_entity() {
 0)   4.688 us    |                                  update_curr();
 0)   7.952 us    |                                  __update_load_avg_se();
 0)   7.616 us    |                                  __update_load_avg_cfs_rq();
 0)   5.088 us    |                                  update_cfs_group();
 0)   5.344 us    |                                  account_entity_enqueue();
 0) + 64.736 us   |                                }
 0) + 74.752 us   |                              }
 0) + 84.880 us   |                            }
 0)               |                            ttwu_do_wakeup.constprop.0() {
 0)               |                              check_preempt_curr() {
 0)   6.000 us    |                                resched_curr();
 0) + 17.056 us   |                              }
 0) + 78.528 us   |                            }
 0) + 92.336 us   |                            _raw_spin_unlock();
 0)   9.280 us    |                            _raw_spin_unlock_irqrestore();
 0) ! 398.224 us  |                          }
 0) ! 408.064 us  |                        }
 0)   5.488 us    |                        _raw_spin_unlock();
 0)   5.552 us    |                        __rcu_read_unlock();
 0) ! 466.288 us  |                      }
 0) ! 477.600 us  |                    }
 0) ! 491.760 us  |                  }
 0)   5.808 us    |                  _raw_spin_lock();
 0)   7.360 us    |                  pl011_read();
 0)   5.248 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 982.576 us  |                }
 0) ! 994.512 us  |              }
 0)   6.864 us    |              add_interrupt_randomness();
 0)   6.320 us    |              note_interrupt();
 0)   5.024 us    |              _raw_spin_lock();
 0) # 1046.992 us |            }
 0) + 10.736 us   |            gic_eoi_irq();
 0)   4.816 us    |            _raw_spin_unlock();
 0) # 1092.400 us |          }
 0)               |          irq_exit() {
 0)   6.672 us    |            irqtime_account_irq();
 0)   5.856 us    |            idle_cpu();
 0)   6.864 us    |            rcu_irq_exit();
 0) + 41.008 us   |          }
 0) # 1521.776 us |        }
 0) # 1571.136 us |      }
 0)   <========== |
 0) * 38840.64 us |    }
 0)               |    rcu_idle_exit() {
 0)   5.024 us    |      rcu_dynticks_eqs_exit();
 0) + 17.728 us   |    }
 0)   5.632 us    |    arch_cpu_idle_exit();
 0)               |    tick_nohz_idle_exit() {
 0)               |      ktime_get() {
 0)   5.072 us    |        arch_counter_read();
 0) + 15.184 us   |      }
 0)   5.280 us    |      timer_clear_idle();
 0)   5.472 us    |      calc_load_nohz_stop();
 0)               |      tick_nohz_restart() {
 0)               |        hrtimer_cancel() {
 0)   5.136 us    |          hrtimer_active();
 0)               |          hrtimer_try_to_cancel.part.0() {
 0)   5.232 us    |            _raw_spin_lock_irqsave();
 0)               |            __remove_hrtimer() {
 0)               |              hrtimer_force_reprogram() {
 0)   4.752 us    |                __hrtimer_next_event_base();
 0)   6.144 us    |                __hrtimer_next_event_base();
 0)               |                tick_program_event() {
 0)               |                  clockevents_program_event() {
 0)               |                    ktime_get() {
 0)   4.736 us    |                      arch_counter_read();
 0) + 14.096 us   |                    }
 0)   9.440 us    |                    arch_timer_set_next_event_virt();
 0) + 38.368 us   |                  }
 0) + 48.032 us   |                }
 0) + 78.640 us   |              }
 0) + 92.304 us   |            }
 0)   5.200 us    |            _raw_spin_unlock_irqrestore();
 0) ! 122.880 us  |          }
 0) ! 142.912 us  |        }
 0)   5.904 us    |        hrtimer_forward();
 0)               |        hrtimer_start_range_ns() {
 0)   4.768 us    |          _raw_spin_lock_irqsave();
 0)   7.520 us    |          enqueue_hrtimer();
 0)               |          hrtimer_reprogram() {
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   4.736 us    |                  arch_counter_read();
 0) + 13.856 us   |                }
 0) + 44.112 us   |                arch_timer_set_next_event_virt();
 0) + 74.144 us   |              }
 0) + 83.344 us   |            }
 0) + 94.160 us   |          }
 0)   6.240 us    |          _raw_spin_unlock_irqrestore();
 0) ! 138.512 us  |        }
 0) ! 308.208 us  |      }
 0)               |      account_idle_ticks() {
 0)               |        irqtime_account_process_tick() {
 0)   5.152 us    |          account_idle_time();
 0) + 16.672 us   |        }
 0) + 27.872 us   |      }
 0) ! 409.104 us  |    }
 0)   5.488 us    |    sched_ttwu_pending();
 0)               |    schedule_idle() {
 0)               |      rcu_note_context_switch() {
 0)   5.504 us    |        rcu_preempt_deferred_qs();
 0) + 17.616 us   |      }
 0)   5.104 us    |      _raw_spin_lock();
 0)               |      pick_next_task_fair() {
 0)   5.152 us    |        put_prev_task_idle();
 0)               |        pick_next_entity() {
 0)   5.152 us    |          clear_buddies();
 0) + 16.336 us   |        }
 0)               |        set_next_entity() {
 0)   5.344 us    |          __update_load_avg_se();
 0)   5.312 us    |          __update_load_avg_cfs_rq();
 0) + 28.768 us   |        }
 0) + 70.496 us   |      }
 0)               |      fpsimd_thread_switch() {
 0)               |        fpsimd_save() {
 0)   5.184 us    |          have_cpu_fpsimd_context();
 0) + 16.064 us   |        }
 0) + 35.488 us   |      }
 0)   6.032 us    |      hw_breakpoint_thread_switch();
 0)   5.312 us    |      uao_thread_switch();
 ------------------------------------------
 0)    <idle>-0    =>  kworker-186  
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)   5.600 us    |      _raw_spin_unlock_irq();
 0) + 17.232 us   |    }
 0)               |    wq_worker_running() {
 0)   5.408 us    |      kthread_data();
 0) + 15.680 us   |    }
 0) * 40690.48 us |  } /* schedule */
 0)   5.632 us    |  _raw_spin_lock_irq();
 0)               |  process_one_work() {
 0)   4.608 us    |    _raw_spin_unlock_irq();
 0)               |    flush_to_ldisc() {
 0)   5.520 us    |      mutex_lock();
 0)               |      tty_port_default_receive_buf() {
 0)               |        tty_ldisc_ref() {
 0)   ==========> |
 0)               |            gic_handle_irq() {
 0)               |              __handle_domain_irq() {
 0)               |                irq_enter() {
 0)   5.904 us    |                  rcu_irq_enter();
 0)   6.736 us    |                  irqtime_account_irq();
 0) + 29.344 us   |                }
 0)   5.488 us    |                irq_find_mapping();
 0)               |                handle_percpu_devid_irq() {
 0)               |                  arch_timer_handler_virt() {
 0)               |                    hrtimer_interrupt() {
 0)   5.520 us    |                      _raw_spin_lock_irqsave();
 0)               |                      ktime_get_update_offsets_now() {
 0)   5.024 us    |                        arch_counter_read();
 0) + 16.288 us   |                      }
 0)               |                      __hrtimer_run_queues() {
 0)   5.184 us    |                        _raw_spin_unlock_irqrestore();
 0)               |                        tick_sched_timer() {
 0)               |                          ktime_get() {
 0)   4.640 us    |                            arch_counter_read();
 0) + 14.368 us   |                          }
 0)               |                          tick_sched_do_timer() {
 0)               |                            tick_do_update_jiffies64.part.0() {
 0)   5.376 us    |                              _raw_spin_lock();
 0)               |                              do_timer() {
 0)   4.816 us    |                                calc_global_load();
 0) + 15.136 us   |                              }
 0)   5.408 us    |                              _raw_spin_unlock();
 0)               |                              update_wall_time() {
 0)               |                                timekeeping_advance() {
 0)   4.720 us    |                                  _raw_spin_lock_irqsave();
 0)   5.088 us    |                                  arch_counter_read();
 0)   5.344 us    |                                  ntp_tick_length();
 0)   4.896 us    |                                  ntp_tick_length();
 0)               |                                  timekeeping_update() {
 0)   4.608 us    |                                    ntp_get_next_leap();
 0)   5.936 us    |                                    update_vsyscall();
 0)   4.960 us    |                                    raw_notifier_call_chain();
 0) + 36.032 us   |                                  }
 0)   5.216 us    |                                  _raw_spin_unlock_irqrestore();
 0) + 98.096 us   |                                }
 0) ! 121.440 us  |                              }
 0) ! 172.368 us  |                            }
 0) ! 182.736 us  |                          }
 0)               |                          tick_sched_handle() {
 0)               |                            update_process_times() {
 0)               |                              account_process_tick() {
 0)               |                                irqtime_account_process_tick() {
 0)               |                                  account_system_index_time() {
 0)               |                                    cpuacct_account_field() {
 0)   4.608 us    |                                      __rcu_read_lock();
 0)   5.248 us    |                                      __rcu_read_unlock();
 0) + 25.056 us   |                                    }
 0)   4.960 us    |                                    __rcu_read_lock();
 0)   4.880 us    |                                    __rcu_read_unlock();
 0)   5.616 us    |                                    acct_account_cputime();
 0) + 66.288 us   |                                  }
 0) + 78.800 us   |                                }
 0) + 94.128 us   |                              }
 0)               |                              run_local_timers() {
 0)   5.072 us    |                                hrtimer_run_queues();
 0)               |                                raise_softirq() {
 0)   5.728 us    |                                  __raise_softirq_irqoff();
 0) + 16.272 us   |                                }
 0) + 37.776 us   |                              }
 0)               |                              rcu_sched_clock_irq() {
 0)   5.040 us    |                                rcu_segcblist_ready_cbs();
 0) + 17.056 us   |                              }
 0)               |                              scheduler_tick() {
 0)   5.104 us    |                                _raw_spin_lock();
 0)               |                                update_rq_clock.part.0() {
 0)   6.848 us    |                                  update_irq_load_avg();
 0) + 18.816 us   |                                }
 0)               |                                task_tick_fair() {
 0)               |                                  update_curr() {
 0)   5.344 us    |                                    update_min_vruntime();
 0)               |                                    cpuacct_charge() {
 0)   4.528 us    |                                      __rcu_read_lock();
 0)   4.832 us    |                                      __rcu_read_unlock();
 0) + 24.400 us   |                                    }
 0)   4.704 us    |                                    __rcu_read_lock();
 0)   4.816 us    |                                    __rcu_read_unlock();
 0) + 64.432 us   |                                  }
 0)   5.808 us    |                                  __update_load_avg_se();
 0)   5.760 us    |                                  __update_load_avg_cfs_rq();
 0)   4.992 us    |                                  update_cfs_group();
 0)   5.216 us    |                                  hrtimer_active();
 0) ! 117.648 us  |                                }
 0)   5.440 us    |                                calc_global_load_tick();
 0) + 11.136 us   |                                _raw_spin_unlock();
 0)               |                                trigger_load_balance() {
 0)               |                                  raise_softirq() {
 0)   4.704 us    |                                    __raise_softirq_irqoff();
 0) + 14.496 us   |                                  }
 0)               |                                  nohz_balance_exit_idle.part.0() {
 0)   4.656 us    |                                    __rcu_read_lock();
 0)   5.088 us    |                                    __rcu_read_unlock();
 0) + 28.480 us   |                                  }
 0)   4.816 us    |                                  __rcu_read_lock();
 0)   4.960 us    |                                  __rcu_read_unlock();
 0)               |                                  kick_ilb() {
 0)   5.168 us    |                                    housekeeping_cpumask();
 0)   5.872 us    |                                    idle_cpu();
 0)               |                                    smp_send_reschedule() {
 0)               |                                      smp_cross_call() {
 0) + 18.768 us   |                                        gic_raise_softirq();
 0) + 29.440 us   |                                      }
 0) + 38.800 us   |                                    }
 0) + 72.960 us   |                                  }
 0) ! 158.384 us  |                                }
 0) ! 418.048 us  |                              }
 0)   5.792 us    |                              run_posix_cpu_timers();
 0) ! 662.080 us  |                            }
 0)   7.728 us    |                            profile_tick();
 0) ! 715.728 us  |                          }
 0)   5.856 us    |                          hrtimer_forward();
 0) ! 947.392 us  |                        }
 0)   5.712 us    |                        _raw_spin_lock_irq();
 0) + 21.856 us   |                        enqueue_hrtimer();
 0) # 1102.176 us |                      }
 0) + 13.104 us   |                      __hrtimer_next_event_base();
 0) + 19.008 us   |                      __hrtimer_next_event_base();
 0) + 10.928 us   |                      _raw_spin_unlock_irqrestore();
 0)               |                      tick_program_event() {
 0)               |                        clockevents_program_event() {
 0)               |                          ktime_get() {
 0)   5.040 us    |                            arch_counter_read();
 0) + 16.640 us   |                          }
 0) + 46.320 us   |                          arch_timer_set_next_event_virt();
 0) + 82.080 us   |                        }
 0) + 92.432 us   |                      }
 0) # 1324.576 us |                    }
 0) # 1337.296 us |                  }
 0) + 15.184 us   |                  gic_eoi_irq();
 0) # 1396.464 us |                }
 0)               |                irq_exit() {
 0)   6.096 us    |                  irqtime_account_irq();
 0)   5.632 us    |                  ksoftirqd_running();
 0)               |                  __do_softirq() {
 0)   6.608 us    |                    irqtime_account_irq();
 0)               |                    run_timer_softirq() {
 0)   6.912 us    |                      _raw_spin_lock_irq();
 0)   9.984 us    |                      __next_timer_interrupt();
 0) + 15.776 us   |                      _raw_spin_unlock_irq();
 0) + 10.752 us   |                      _raw_spin_lock_irq();
 0) + 10.560 us   |                      __next_timer_interrupt();
 0)   5.568 us    |                      _raw_spin_unlock_irq();
 0) ! 121.184 us  |                    }
 0)               |                    run_rebalance_domains() {
 0)               |                      update_blocked_averages() {
 0)   5.376 us    |                        _raw_spin_lock_irqsave();
 0)               |                        update_rq_clock() {
 0)               |                          update_rq_clock.part.0() {
 0)   5.760 us    |                            update_irq_load_avg();
 0) + 18.688 us   |                          }
 0) + 29.264 us   |                        }
 0) + 35.632 us   |                        update_rt_rq_load_avg();
 0) + 12.016 us   |                        update_dl_rq_load_avg();
 0) + 18.432 us   |                        update_irq_load_avg();
 0) + 13.504 us   |                        __update_load_avg_cfs_rq();
 0) + 10.304 us   |                        _raw_spin_unlock_irqrestore();
 0) ! 216.592 us  |                      }
 0)               |                      rebalance_domains() {
 0)   4.992 us    |                        __rcu_read_lock();
 0)   7.968 us    |                        __msecs_to_jiffies();
 0)               |                        load_balance() {
 0)   6.320 us    |                          idle_cpu();
 0)   6.192 us    |                          group_balance_cpu();
 0)               |                          find_busiest_group() {
 0)               |                            update_group_capacity() {
 0)   4.704 us    |                              __msecs_to_jiffies();
 0) + 15.936 us   |                            }
 0)   5.376 us    |                            idle_cpu();
 0) + 49.648 us   |                          }
 0) + 92.400 us   |                        }
 0)   4.960 us    |                        __msecs_to_jiffies();
 0)   5.200 us    |                        __rcu_read_unlock();
 0) ! 152.752 us  |                      }
 0) ! 387.664 us  |                    }
 0)   7.328 us    |                    irqtime_account_irq();
 0) ! 549.712 us  |                  }
 0)   4.816 us    |                  idle_cpu();
 0) + 10.736 us   |                  rcu_irq_exit();
 0) ! 613.728 us  |                }
 0) # 2074.976 us |              }
 0) # 2101.856 us |            }
 0)   <========== |
 0) # 2131.632 us |          ldsem_down_read_trylock();
 0) # 2211.152 us |        }
 0)               |        tty_ldisc_receive_buf() {
 0)               |          n_tty_receive_buf2() {
 0)               |            n_tty_receive_buf_common() {
 0)   5.088 us    |              down_read();
 0)               |              uart_flush_chars() {
 0)               |                uart_start() {
 0)   5.104 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __uart_start.isra.0() {
 0)               |                    pl011_start_tx() {
 0)               |                      pl011_tx_chars() {
 0)   6.704 us    |                        pl011_stop_tx();
 0) + 17.440 us   |                      }
 0) + 27.264 us   |                    }
 0) + 38.464 us   |                  }
 0)   5.200 us    |                  _raw_spin_unlock_irqrestore();
 0) + 83.248 us   |                }
 0) + 92.480 us   |              }
 0)   5.120 us    |              kill_fasync();
 0)               |              __wake_up() {
 0)               |                __wake_up_common_lock() {
 0)   4.688 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __wake_up_common() {
 0)               |                    pollwake() {
 0)               |                      default_wake_function() {
 0)               |                        try_to_wake_up() {
 0)   4.272 us    |                          _raw_spin_lock_irqsave();
 0)               |                          select_task_rq_fair() {
 0)   4.320 us    |                            __rcu_read_lock();
 0)   5.120 us    |                            available_idle_cpu();
 0)   6.656 us    |                            task_h_load();
 0)               |                            select_idle_sibling() {
 0)   4.800 us    |                              available_idle_cpu();
 0) + 14.624 us   |                            }
 0)   4.864 us    |                            __rcu_read_unlock();
 0) + 66.496 us   |                          }
 0)   5.744 us    |                          _raw_spin_lock();
 0)               |                          update_rq_clock.part.0() {
 0)   5.472 us    |                            update_irq_load_avg();
 0) + 16.240 us   |                          }
 0)               |                          activate_task() {
 0)               |                            enqueue_task_fair() {
 0)               |                              enqueue_entity() {
 0)   4.416 us    |                                update_curr();
 0)   6.064 us    |                                __update_load_avg_se();
 0)   6.096 us    |                                __update_load_avg_cfs_rq();
 0)   4.736 us    |                                update_cfs_group();
 0)   4.992 us    |                                account_entity_enqueue();
 0) + 56.480 us   |                              }
 0)               |                              enqueue_entity() {
 0)   4.320 us    |                                update_curr();
 0)   5.744 us    |                                __update_load_avg_se();
 0)   4.912 us    |                                __update_load_avg_cfs_rq();
 0)               |                                update_cfs_group() {
